name,name,borough,rating,review_count,categories_list,GRADE
BKNY THAI RESTAURANT,BKNY Thai Restaurant,Queens,4.0,1539,Thai; Seafood; Salad,A
BLACK IRIS,Black Iris,Brooklyn,3.8,377,Mediterranean,A
BLACK THAI,Black Thai,Queens,3.8,342,Thai,A
BLANQUITA RESTAURANT,Blanquita Restaurant,Bronx,0.0,0,Spanish; Dominican; Mexican,A
BLAZIN CHICKEN & GYRO,Blazin Chicken & Gyro,Bronx,3.8,15,Chicken Shop; Mediterranean,C
BLAZZE SEAFOOD & CHICKEN,Blazze Seafood & Chicken,Brooklyn,4.6,7,Seafood,B
BLOOM CAFE,Bloom Cafe,Staten Island,4.6,51,Breakfast & Brunch; Coffee & Tea; Cafes,A
BLOSSOM’S SOUL FOOD FUSION,Blossom’s Soul Food Fusion,Brooklyn,3.4,51,Soul Food; Seafood; Comfort Food,
BLUE,Blue,Staten Island,3.9,534,Mediterranean; Seafood; Desserts,A
BLUE BLOSSOM,Blue Blossom,Manhattan,4.4,46,Chinese; Seafood; Noodles,
BLUE RIBBON SUSHI,Blue Ribbon Sushi,Manhattan,4.1,1305,Sushi Bars; Japanese,A
BLUE RIBBON SUSHI & SAKE,Blue Ribbon Sushi & Sake,Manhattan,4.0,1,Sushi Bars; Japanese,
BLUE SEA TAVERNA,Blue Sea Taverna,Queens,4.0,223,Greek; Bars; Mediterranean,A
BLUE TIJUANA,Blue Tijuana,Queens,4.2,124,Mexican,A
BOGOTA LATIN BISTRO,Bogota Latin Bistro,Brooklyn,4.0,2634,Bars; Gluten-Free; Colombian,A
BOKA,Boka,Manhattan,3.9,12,Korean,B
BOMBAY BISTRO,Bombay Bistro,Manhattan,4.4,309,Indian; Cocktail Bars,B
BOMBAY CHOWK,Bombay Chowk,Manhattan,4.0,202,Indian,
BOMBAY GRILL,Bombay Grill,Brooklyn,4.5,319,Indian,A
BOMBAY GRILL HOUSE,Bombay Grill House,Brooklyn,4.4,49,Indian,A
BOMBAY HEIGHTS,Bombay Heights,Brooklyn,3.5,104,Indian,A
BOMBAY KABAB,Bombay Kabab,Brooklyn,4.1,117,Kebab; Indian; Soup,A
BOMBAY MASALA INDIAN DINING,Bombay Masala Indian Dining,Brooklyn,3.7,37,Indian,B
BOMBERINO,Bomberino,Brooklyn,4.3,13,Cafes; Italian; Breakfast & Brunch,A
BONAFINI,Bonafini,Brooklyn,4.2,455,Breakfast & Brunch; Italian,A
BONCHON,Bonchon,Manhattan,3.3,1116,Korean; Chicken Wings; Asian Fusion,A
BOND ST,Bond ST,Manhattan,4.1,67,Sushi Bars; Japanese; Seafood,A
BONI & MOTT,Boni & Mott,Manhattan,5.0,7,Mediterranean,
