id,name,rating,review_count,categories_list,BOROUGH,SCORE,GRADE
UjBZR0Vyl5zpwDVkOvNceQ,casa carmen,4.3,31,Mexican; Wine Bars; Cocktail Bars,Manhattan,13.0,A
6ezrABEThm48qv1qj8_FVw,javelina,3.9,184,Tex-Mex; Mexican; Southern,Manhattan,13.0,A
1wWgS7jzzbZHj8T4LKMfyQ,super burrito,4.6,5,Mexican,Brooklyn,13.0,A
hSkeb_lmfxnoqg7EVo19Vw,taco mix,3.7,499,Mexican,Brooklyn,13.0,A
vpWPgusmUD0cYNKf0uEQIw,cemitas el tigre,4.5,295,Mexican,Queens,13.0,A
ED91L2kUw_pwF_Pd1ZdViQ,rancho tequileria,3.9,127,Mexican,Manhattan,13.0,A
onGzhRqmlmYixXljTT3QVQ,sobre masa,4.3,66,Mexican; Cocktail Bars,Brooklyn,13.0,A
jfByopeG96qYD5gcvYjD4Q,adobo mexican grill,4.3,13,Halal; Tacos,Brooklyn,13.0,A
dtAGaV2JLVvljg-0LZTa_w,cafe xochimilco,4.7,66,Breakfast & Brunch; Cafes; Mexican,Queens,13.0,A
wgAnpM65vrCN4sCVbfFVng,bar bruno,4.5,30,Bars; Mexican,Brooklyn,13.0,A
m8z1eTTetr-JbSM1HU2t6Q,tacos y quesadillas mexico,4.1,53,Food Trucks; Mexican,Queens,13.0,A
4GPZAkK7M9ObDBsgMq7JSA,el gallo taqueria,3.7,56,Mexican,Brooklyn,13.0,A
uvcEo61aL2F8e4PCzwZsYg,chihuahua,4.3,196,Mexican,Queens,13.0,A
B6bEkY9sJ_GU2pD2Rwb4gg,el mitote,3.4,657,Mexican; Juice Bars & Smoothies; Sandwiches,Manhattan,13.0,A
xWLSJOiN1mMRHmBmHyjAfw,mad dog & beans mexican cantina,3.9,731,Mexican,Manhattan,13.0,A
ifGXrRqs-zp6ek7LsoozrQ,taqueria diana,3.7,791,Mexican,Manhattan,13.0,A
g7cNGvsbZtFK0z0TZmXHgw,el coco,3.4,106,Tacos,Manhattan,13.0,A
AFMskIEWMA-9mawqSFEuqg,buena onda,4.5,20,Cocktail Bars; Mexican,Manhattan,13.0,A
BxnrBKdLwdaEXyq97uxgKg,cascalote latin bistro,4.5,419,Latin American; Mexican,Manhattan,13.0,A
Y5TqZhNxPC6BWnM7zsCSjA,din tai fung,4.2,1344,Taiwanese; Shanghainese; Dim Sum,Manhattan,13.0,A
83zDAk03lFXkgImgkLhT9w,chi restaurant & bar,4.5,422,Szechuan; Cocktail Bars,Manhattan,13.0,A
HScFap2SwbUlfC-QXVkxFA,xi'an famous foods,4.0,1763,Chinese; Burgers; Noodles,Manhattan,13.0,A
8plXW6ZQI1awPu1scms3jQ,silky kitchen,4.4,109,Chinese; Salad; Noodles,Manhattan,13.0,A
4FD0TAxe70nb3ngk3sXF9Q,uluh,4.4,1053,Tea Rooms; Asian Fusion; Szechuan,Manhattan,13.0,A
SMrj71bWo1lomSbU8wXgyw,the dolar shop,4.5,510,Hot Pot; Chinese,Queens,13.0,A
JJLFsLZbL21fbYRqcIGCLA,awesum dimsum,4.5,391,Dim Sum; Cantonese,Manhattan,13.0,A
xm_-5QZFzJidiUO--PgOYg,bites of xi'an,4.0,103,Chinese; Noodles,Manhattan,13.0,A
iXH9H75idkSB-Eudo5ABhg,tang by mr sun,4.3,103,Chinese; Seafood; Cocktail Bars,Manhattan,13.0,A
mUl0wtO7tPkBocuJqZ-7Dw,dun huang,4.4,371,Chinese; Noodles,Brooklyn,13.0,A
smxIke5NSkMIExa6jLVw-g,joe's steam rice roll,4.2,265,Cantonese,Manhattan,13.0,A
fjj5hk9vmfjaxq855OBQXQ,cozy rice,4.5,47,Dim Sum; Cantonese,Manhattan,13.0,A
iu1TLnNH13AdBDg_LmnuHQ,lunar,4.2,54,Chinese,Manhattan,13.0,A
gDCK63W5_8-tdCCWr92rbw,shan,4.4,124,Cocktail Bars; Szechuan; Noodles,Brooklyn,13.0,A
BF5rzGE9OOTOUVH0pjHa5Q,shanghai villa,4.3,43,Shanghainese,Manhattan,13.0,A
3oB2_2vpeIyxJt1GvlcZBA,baodega,4.1,369,Dim Sum; Noodles,Manhattan,13.0,A
ICNwlgXTrvFrGvaScUp8Ew,for u,4.8,93,Dim Sum; Szechuan; Asian Fusion,Manhattan,13.0,A
sBCJYLPNJuagg-aJ3Y_ozQ,cheli,4.2,422,Shanghainese; Desserts; Soup,Queens,13.0,A
